id,sentiment
0,negative
1,positive
2,negative
3,positive
4,negative
5,neutral
6,positive
7,positive
8,neutral
9,neutral
10,negative
11,positive
12,negative
13,neutral
14,neutral
15,negative
16,positive
17,neutral
18,neutral
19,positive
20,positive
21,negative
22,negative
23,neutral
24,neutral
25,negative
26,negative
27,positive
28,neutral
29,positive
30,neutral
31,positive
32,neutral
33,negative
34,neutral
35,neutral
36,positive
37,positive
38,negative
39,neutral
40,positive
41,negative
42,neutral
43,positive
44,neutral
45,neutral
46,positive
47,neutral
48,neutral
49,negative
50,neutral
51,neutral
52,positive
53,negative
54,positive
55,neutral
56,neutral
57,neutral
58,neutral
59,neutral
60,neutral
61,neutral
62,positive
63,positive
64,neutral
65,positive
66,negative
67,neutral
68,positive
69,negative
70,positive
71,positive
72,neutral
73,neutral
74,neutral
75,positive
76,neutral
77,positive
78,positive
79,positive
80,neutral
81,negative
82,positive
83,positive
84,positive
85,neutral
86,positive
87,negative
88,neutral
89,positive
90,positive
91,neutral
92,neutral
93,neutral
94,positive
95,positive
96,negative
97,positive
98,negative
99,positive
100,positive
101,neutral
102,neutral
103,negative
104,neutral
105,negative
106,neutral
107,positive
108,negative
109,neutral
110,positive
111,neutral
112,positive
113,neutral
114,neutral
115,positive
116,positive
117,positive
118,neutral
119,positive
120,neutral
121,neutral
122,neutral
123,negative
124,positive
125,neutral
126,negative
127,negative
128,neutral
129,neutral
130,positive
131,positive
132,positive
133,neutral
134,positive
135,positive
136,neutral
137,neutral
138,neutral
139,negative
140,positive
141,neutral
142,neutral
143,neutral
144,positive
145,negative
146,positive
147,positive
148,positive
149,neutral
150,negative
151,positive
152,neutral
153,neutral
154,positive
155,neutral
156,neutral
157,positive
158,positive
159,negative
160,positive
161,negative
162,positive
163,positive
164,neutral
165,neutral
166,neutral
167,neutral
168,negative
169,neutral
170,negative
171,negative
172,negative
173,positive
174,negative
175,neutral
176,positive
177,positive
178,neutral
179,negative
180,negative
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,positive
188,negative
189,positive
190,positive
191,positive
192,neutral
193,negative
194,positive
195,negative
196,neutral
197,neutral
198,neutral
199,neutral
200,positive
201,neutral
202,neutral
203,positive
204,positive
205,negative
206,positive
207,positive
208,positive
209,positive
210,positive
211,neutral
212,positive
213,neutral
214,neutral
215,neutral
216,negative
217,negative
218,positive
219,positive
220,positive
221,positive
222,neutral
223,neutral
224,neutral
225,neutral
226,positive
227,neutral
228,positive
229,positive
230,positive
231,neutral
232,positive
233,neutral
234,negative
235,neutral
236,positive
237,neutral
238,neutral
239,negative
240,neutral
241,positive
242,neutral
243,neutral
244,negative
245,positive
246,neutral
247,negative
248,positive
249,neutral
250,neutral
251,neutral
252,positive
253,neutral
254,positive
255,positive
256,neutral
257,negative
258,positive
259,positive
260,neutral
261,positive
262,negative
263,negative
264,negative
265,neutral
266,neutral
267,negative
268,positive
269,negative
270,positive
271,neutral
272,neutral
273,neutral
274,positive
275,positive
276,neutral
277,negative
278,neutral
279,neutral
280,negative
281,neutral
282,negative
283,neutral
284,positive
285,neutral
286,positive
287,positive
288,negative
289,neutral
290,positive
291,negative
292,neutral
293,neutral
294,neutral
295,positive
296,positive
297,neutral
298,neutral
299,positive
300,negative
301,neutral
302,negative
303,negative
304,positive
305,neutral
306,positive
307,neutral
308,neutral
309,negative
310,positive
311,neutral
312,neutral
313,neutral
314,neutral
315,positive
316,neutral
317,negative
318,positive
319,neutral
320,neutral
321,negative
322,neutral
323,neutral
324,neutral
325,neutral
326,positive
327,positive
328,neutral
329,neutral
330,positive
331,neutral
332,positive
333,negative
334,negative
335,positive
336,neutral
337,positive
338,negative
339,positive
340,positive
341,neutral
342,positive
343,neutral
344,neutral
345,neutral
346,neutral
347,neutral
348,neutral
349,negative
350,neutral
351,positive
352,neutral
353,neutral
354,negative
355,neutral
356,neutral
357,neutral
358,neutral
359,neutral
360,neutral
361,neutral
362,neutral
363,neutral
364,neutral
365,neutral
366,positive
367,neutral
368,positive
369,neutral
370,neutral
371,positive
372,positive
373,negative
374,positive
375,neutral
376,negative
377,neutral
378,neutral
379,neutral
380,positive
381,neutral
382,positive
383,neutral
384,neutral
385,positive
386,neutral
387,neutral
388,positive
389,positive
390,negative
391,positive
392,negative
393,negative
394,positive
395,negative
396,positive
397,positive
398,positive
399,neutral
400,positive
401,neutral
402,neutral
403,neutral
404,negative
405,negative
406,neutral
407,positive
408,neutral
409,positive
410,positive
411,positive
412,positive
413,positive
414,positive
415,positive
416,neutral
417,negative
418,negative
419,positive
420,negative
421,neutral
422,neutral
423,neutral
424,positive
425,neutral
426,neutral
427,negative
428,negative
429,neutral
430,neutral
431,positive
432,positive
433,neutral
434,neutral
435,positive
436,neutral
437,negative
438,neutral
439,neutral
440,positive
441,neutral
442,positive
443,positive
444,neutral
445,neutral
446,negative
447,neutral
448,neutral
449,neutral
450,neutral
451,neutral
452,neutral
453,positive
454,negative
455,neutral
456,negative
457,negative
458,neutral
459,neutral
460,neutral
461,neutral
462,negative
463,positive
464,positive
465,positive
466,positive
467,neutral
468,negative
469,neutral
470,positive
471,neutral
472,positive
473,neutral
474,positive
475,positive
476,neutral
477,neutral
478,neutral
479,positive
480,neutral
481,positive
482,neutral
483,neutral
484,positive
485,positive
486,positive
487,negative
488,positive
489,positive
490,negative
491,negative
492,negative
493,positive
494,positive
495,positive
496,positive
497,neutral
498,positive
499,neutral
500,negative
501,positive
502,positive
503,negative
504,positive
